source,country,lang,date,categories,wtp_signals,platform_sentiment,engagement,segment_hints,text_preview,url
appstore,korea,en,2018-06-12,,,0.00,7,,It's not available for foreigners,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2018-03-26,,,0.00,27,,아쉽네요. 이 앱은 내국인에 한해 이용이 가능한가 보네요. 외국인에게 이용이 가능하게 해주시면 좋겠습니다.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2018-03-04,,,0.50,14,,This app is kakao bank not cocoa bank. The person who wrote this word must be stupid...(have to be fired haha) 영문판으로보는데 cocoa bank라고 설명되어있던데 kakao아니냐...코코아타먹고싶네..외국인들이보면 헷갈리겟다,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2018-01-25,,,0.00,2,,누구나 쉽게 만들수있다면서 이민자 외국인은 왜 만들수가 없는거죠? 영어로 이름 쓰니까 바로 잘리네요,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2018-01-09,housing,,0.25,0,,Please Help Me to register this Apps. my name is too long to register on this apps.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2018-01-05,,,0.00,1,,Name field length is too short,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2017-11-23,,,0.00,8,,I wish Cocoa Bank worked for foreigners but it doesn't.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2017-10-25,banking|community,,1.00,6,,My friend didn't have to pay extra charge for a transfer through this to overseas. 5 bucks for $5000 !! It's wonderful.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2017-09-30,,,0.00,0,,Cant open an account in overseas.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2017-09-26,,,0.00,12,,Cannot create accounts,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2017-09-21,,,0.00,34,"{""tenure"": ""long""}",I have lived in Korea for 7 years. Foreigners can't register. This is 2017 Kakao. So many foreigners live in Korea. All banks allow foreigners except for you. You should be embarrassed. Huge disappointment.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2017-09-07,visa|banking,,0.00,29,,I am a foreigner having an F4 visa. I was able to open a Woori bank account with my Korean ID. How come I can't open a kakaobank account?? I wouldn't have downloaded this app if I knew about it!,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2017-08-31,,,0.00,27,,외국인이면 쓸 수가 없네요 ㅎㅎㅎ As a foreigner I can't use it! Shame,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2017-08-23,,,0.00,9,,The length of input cell for username is limited and causes long name users cannot use this app,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2017-08-15,banking|discrimination|phone_connectivity,,0.00,20,,"외국인이도 가입할수 있게 해주세요. 왜 차별하는건지 모르겠습니다. 합법적으로 한국에 거주하고 일하고 있고 은행계좌, 핸드폰 다 있는데 국적, 인종, 출신국가 같은걸로 차별하는 겁니까? 한국인이 외국에서 이러한 대우를 받으면 좋겠습니까? 이유라도 좀 설명해 주세요.",https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2017-08-14,,,0.00,11,,외국인 가입 안되네요.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2017-08-13,,,0.00,9,,외국인 거래가 불가합니다. 라는 메세지가 뜨네요. 개선이 필요해보입니다. 지금은 리뷰에 1점도 아깝네요.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2017-08-12,visa|discrimination,,0.00,27,"{""visa_type"": ""F-4""}",I'm on a F-4 Visa and have lived in Korea for more than 5 years. I don't understand why F-4 Visa holders cannot access this bank. I can use any other Korean bank and Kakao bank should be the same. Don't discriminate against foreigners!,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2017-08-11,,,0.00,0,,외국인들이 신청 못 한다.  성명이 길어서 다 입력 못 했다. 해결하면 좋겠다.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2017-08-11,visa,,0.00,30,,외국인 신청하면 안된대요.. 외국인등록증도 있는데.. 외국인 사용 못하게 할거면 적어도 이모티콘 주셔야죠~ 실망이 큽니다. ㅠㅠ,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2017-08-05,visa|language|discrimination,,0.00,72,,제가 외국인 이지만 한국에서 살아요. 이 앱 영어 없으니까 많은 외국인 화나요. 이앱 한국 앱 이어서 영어 없는 것 괜찮는데 외국인들이 한국말할 수있도 못 써서 엄청 나빠요.   이앱의 무제가 외국인 못 써요. 왜요? 한국에서 살고 한국어 배우 고 있어요. 외국인등록번호 와 한국전화번호 있어요.  우리 외국인등록증 왜 받지 않아요?   차별이야.   (한국말 아직 배우고 있어요. 재 쓰기 나쁘면 미안합니다.)  Im a foreinger in korea learning korean and living here. I posted th,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2017-08-05,housing,,0.50,18,,Please put a English option. Foriengers would also like to use the Kakao bank. Please put English option so it can be international. Better for business.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2017-08-04,language,,0.00,3,,No English. Terrible,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2017-08-01,,,0.00,6,,Doesn't work for foreigners living in Korea.,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2017-08-01,language,,0.00,15,,"No English service available, even for foreigners who reside and work in Korea. Additionally, you have to install Ahn Security, more bloatware for your phone. In my opinion, Kakao already has their hands full with too many other applications and having a ""bank"" may be pushing things a little too far",https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,ko,2017-08-01,banking,,0.00,6,,외국인 계좌개설 불가...다른 한국은 잘 쓰고있는데...,https://play.google.com/store/apps/details?id=com.kakaobank.channel
appstore,korea,en,2017-07-31,banking|language,,0.00,18,,"No English  I don't know what's wrong with Korea. They imposed strict laws for other internet banking companies that forced them to suspend their services. I don't know if it is just a coincidence or not but it happened upon the launch of this app. Now, this app was launched but it is impossible for",https://play.google.com/store/apps/details?id=com.kakaobank.channel
